"Date Printed: Monday, March 9, 2026 3:22:13 PM"
Title: "AIDS classifications | AIDS deaths | AIDS prevalence | Estimated HIV incidence | Estimated HIV prevalence (undiagnosed and diagnosed) | HIV deaths | HIV diagnoses | HIV prevalence | HIV viral suppression | Knowledge of Status | Linkage to HIV medical care | PrEP coverage and number of persons prescribed | Receipt of HIV medical care | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2024 and 2025 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Small numbers and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category are adjusted for missing information. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2023 are preliminary and based on death data received by CDC as of December 2024. Deaths in 2020 and beyond should be interpreted with caution considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   Prevalence data for the year 2023 based on preliminary death data received by CDC as of December 2024 and should be interpreted with caution. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   Linkage to HIV medical care is based on cases diagnosed during the year queried.
   Receipt of care is based on persons living with diagnosed HIV at the end of the year queried.
   Viral suppression is based on persons living with diagnosed HIV at the end of the year queried.
   Estimates with an RSE>50% are statistically unreliable and reported as data not available.
   * Estimates with an RSE of 30%–50% should be used with caution because they meet a lower standard of reliability.PrEP coverage͵ reported as a percentage͵ is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP. To allow for comparison with other HIV indicators͵ data are presented for ≥13‒ and 13‒24-year-olds͵ but represent ≥16‒ and 16‒24-years-olds͵ respectively. CDC has paused PrEP coverage reporting to determine the best methodology for calculating PrEP coverage͵ and to update PrEP coverage estimates using updated methods and sources. Until updated PrEP coverage estimates are published͵ CDC advises against citing specific PrEP coverage data points͵ as historical estimates will be updated.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"HIV viral suppression","2021","New Hampshire","33","1,006","NA","75.5"
"HIV prevalence","2021","New Hampshire","33","1,354","111.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","New Hampshire","33","1,500 (1,300 - 1,700, 8.5)","122.2 (110.1 - 142.6)","NA"
"AIDS classifications","2021","New Hampshire","33","21","1.7","NA"
"AIDS deaths","2021","New Hampshire","33","15","1.2","NA"
"AIDS prevalence","2021","New Hampshire","33","647","53.4","NA"
"Estimated HIV incidence","2021","New Hampshire","33","Data not available","Data not available","NA"
"HIV deaths","2021","New Hampshire","33","22","1.8","NA"
"HIV diagnoses","2021","New Hampshire","33","32","2.6","NA"
"Linkage to HIV medical care","2021","New Hampshire","33","32","NA","100.0"
"PrEP coverage and number of persons prescribed","2021","New Hampshire","33","799","NA","26.5"
"PrEP coverage and number of persons prescribed","2021","New Jersey","34","7,294","NA","28.9"
"Knowledge of Status","2021","New Jersey","34","34,279","NA","88.3 (84.7 - 92.2, 2.2)"
"HIV prevalence","2021","New Jersey","34","34,488","439.6","NA"
"HIV diagnoses","2021","New Jersey","34","1,013","12.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","New Jersey","34","38,800 (37,200 - 40,500, 2.2)","493.9 (473.0 - 514.8)","NA"
"Estimated HIV incidence","2021","New Jersey","34","880 (480 - 1,300, 23.3)","11.2 (6.1 - 16.3)","NA"
"AIDS prevalence","2021","New Jersey","34","17,077","217.7","NA"
"AIDS classifications","2021","New Jersey","34","405","5.2","NA"
"AIDS deaths","2021","New Jersey","34","553","7.0","NA"
"HIV deaths","2021","New Jersey","34","742","9.5","NA"
"HIV viral suppression","2021","New Jersey","34","Data not available","NA","Data not available"
"Linkage to HIV medical care","2021","New Jersey","34","Data not available","NA","Data not available"
"Receipt of HIV medical care","2021","New Jersey","34","Data not available","NA","Data not available"
"Receipt of HIV medical care","2021","New Mexico","35","2,957","NA","76.3"
"PrEP coverage and number of persons prescribed","2021","New Mexico","35","1,596","NA","23.5"
"Knowledge of Status","2021","New Mexico","35","3,977","NA","87.1 (79.7 - 96.1, 4.8)"
"HIV viral suppression","2021","New Mexico","35","2,183","NA","56.4"
"HIV prevalence","2021","New Mexico","35","4,009","223.6","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","New Mexico","35","4,600 (4,100 - 5,000, 4.8)","254.6 (230.8 - 278.4)","NA"
"AIDS prevalence","2021","New Mexico","35","2,009","112.1","NA"
"AIDS classifications","2021","New Mexico","35","48","2.7","NA"
"AIDS deaths","2021","New Mexico","35","59","3.3","NA"
"Estimated HIV incidence","2021","New Mexico","35","Data not available","Data not available","NA"
"HIV deaths","2021","New Mexico","35","89","5.0","NA"
"HIV diagnoses","2021","New Mexico","35","153","8.5","NA"
"Linkage to HIV medical care","2021","New Mexico","35","127","NA","85.2"
"Receipt of HIV medical care","2021","New York","36","89,211","NA","72.9"
"PrEP coverage and number of persons prescribed","2021","New York","36","39,350","NA","54.2"
"Linkage to HIV medical care","2021","New York","36","1,814","NA","85.7"
"Knowledge of Status","2021","New York","36","121,581","NA","93.1 (91.3 - 95.0, 1.0)"
"HIV viral suppression","2021","New York","36","79,119","NA","64.7"
"HIV prevalence","2021","New York","36","123,436","729.2","NA"
"HIV diagnoses","2021","New York","36","2,140","12.6","NA"
"HIV deaths","2021","New York","36","2,219","13.1","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","New York","36","130,600 (128,000 - 133,100, 1.0)","769.8 (754.6 - 785.0)","NA"
"Estimated HIV incidence","2021","New York","36","1,600 (1,100 - 2,100, 15.6)","9.4 (6.5 - 12.3)","NA"
"AIDS prevalence","2021","New York","36","68,212","403.0","NA"
"AIDS deaths","2021","New York","36","1,774","10.5","NA"
"AIDS classifications","2021","New York","36","1,209","7.1","NA"
"Receipt of HIV medical care","2021","North Carolina","37","25,496","NA","77.4"
"PrEP coverage and number of persons prescribed","2021","North Carolina","37","7,936","NA","24.4"
"Linkage to HIV medical care","2021","North Carolina","37","1,115","NA","80.2"
"Knowledge of Status","2021","North Carolina","37","33,829","NA","86.1 (83.3 - 89.0, 1.7)"
"HIV viral suppression","2021","North Carolina","37","22,383","NA","68.0"
"HIV prevalence","2021","North Carolina","37","34,089","381.1","NA"
"HIV diagnoses","2021","North Carolina","37","1,388","15.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","North Carolina","37","39,300 (38,000 - 40,600, 1.7)","438.3 (423.5 - 453.0)","NA"
"Estimated HIV incidence","2021","North Carolina","37","1,100 (760 - 1,500, 16.2)","12.4 (8.5 - 16.4)","NA"
"AIDS prevalence","2021","North Carolina","37","14,849","166.0","NA"
"AIDS classifications","2021","North Carolina","37","515","5.8","NA"
"AIDS deaths","2021","North Carolina","37","453","5.1","NA"
"HIV deaths","2021","North Carolina","37","666","7.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","North Dakota","38","780 (550 - 1,000, 15.3)","121.0 (84.6 - 157.5)","NA"
"AIDS classifications","2021","North Dakota","38","13","2.0","NA"
"AIDS deaths","2021","North Dakota","38","6","0.9","NA"
"AIDS prevalence","2021","North Dakota","38","229","35.6","NA"
"Estimated HIV incidence","2021","North Dakota","38","Data not available","Data not available","NA"
"HIV deaths","2021","North Dakota","38","6","0.9","NA"
"HIV diagnoses","2021","North Dakota","38","37","5.8","NA"
"HIV prevalence","2021","North Dakota","38","532","82.7","NA"
"HIV viral suppression","2021","North Dakota","38","317","NA","62.6"
"Knowledge of Status","2021","North Dakota","38","524","NA","67.2 (51.7 - 96.1, 16.9)"
"Linkage to HIV medical care","2021","North Dakota","38","31","NA","83.8"
"PrEP coverage and number of persons prescribed","2021","North Dakota","38","245","NA","16.1"
"Receipt of HIV medical care","2021","North Dakota","38","402","NA","79.4"
"Receipt of HIV medical care","2021","Ohio","39","17,368","NA","74.9"
"PrEP coverage and number of persons prescribed","2021","Ohio","39","8,456","NA","21.0"
"Knowledge of Status","2021","Ohio","39","23,737","NA","84.8 (81.4 - 88.6, 2.2)"
"HIV viral suppression","2021","Ohio","39","15,307","NA","66.0"
"HIV prevalence","2021","Ohio","39","23,946","241.2","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Ohio","39","28,000 (26,800 - 29,200, 2.2)","281.1 (269.2 - 293.1)","NA"
"Estimated HIV incidence","2021","Ohio","39","900 (500 - 1,300, 22.7)","9.0 (5.0 - 13.0)","NA"
"AIDS prevalence","2021","Ohio","39","10,996","110.7","NA"
"AIDS classifications","2021","Ohio","39","444","4.5","NA"
"AIDS deaths","2021","Ohio","39","375","3.8","NA"
"HIV deaths","2021","Ohio","39","519","5.2","NA"
"HIV diagnoses","2021","Ohio","39","918","9.2","NA"
"Linkage to HIV medical care","2021","Ohio","39","757","NA","83.3"
"Receipt of HIV medical care","2021","Oklahoma","40","4,720","NA","71.7"
"PrEP coverage and number of persons prescribed","2021","Oklahoma","40","2,323","NA","21.1"
"Knowledge of Status","2021","Oklahoma","40","6,843","NA","80.0 (74.3 - 86.8, 4.0)"
"HIV viral suppression","2021","Oklahoma","40","4,046","NA","61.4"
"HIV prevalence","2021","Oklahoma","40","6,899","208.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Oklahoma","40","8,500 (7,900 - 9,200, 4.0)","257.6 (237.6 - 277.6)","NA"
"Estimated HIV incidence","2021","Oklahoma","40","400 (180 - 620, 27.6)","12.1 (5.6 - 18.7)","NA"
"AIDS prevalence","2021","Oklahoma","40","3,090","93.4","NA"
"AIDS classifications","2021","Oklahoma","40","135","4.1","NA"
"AIDS deaths","2021","Oklahoma","40","107","3.2","NA"
"HIV deaths","2021","Oklahoma","40","148","4.5","NA"
"HIV diagnoses","2021","Oklahoma","40","383","11.6","NA"
"Linkage to HIV medical care","2021","Oklahoma","40","303","NA","78.3"
"Receipt of HIV medical care","2021","Oregon","41","6,237","NA","85.8"
"PrEP coverage and number of persons prescribed","2021","Oregon","41","4,686","NA","23.7"
"Knowledge of Status","2021","Oregon","41","7,411","NA","88.2 (82.0 - 95.4, 3.9)"
"HIV viral suppression","2021","Oregon","41","5,616","NA","77.3"
"HIV prevalence","2021","Oregon","41","7,448","203.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Oregon","41","8,400 (7,800 - 9,000, 3.8)","229.4 (212.2 - 246.7)","NA"
"AIDS prevalence","2021","Oregon","41","3,857","105.5","NA"
"AIDS classifications","2021","Oregon","41","89","2.4","NA"
"AIDS deaths","2021","Oregon","41","117","3.2","NA"
"Estimated HIV incidence","2021","Oregon","41","Data not available","Data not available","NA"
"HIV deaths","2021","Oregon","41","148","4.1","NA"
"HIV diagnoses","2021","Oregon","41","200","5.5","NA"
"Linkage to HIV medical care","2021","Oregon","41","159","NA","78.7"
"PrEP coverage and number of persons prescribed","2021","Pennsylvania","42","13,066","NA","35.8"
"Knowledge of Status","2021","Pennsylvania","42","36,204","NA","90.4 (87.3 - 93.6, 1.8)"
"HIV prevalence","2021","Pennsylvania","42","36,793","330.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Pennsylvania","42","40,100 (38,700 - 41,500, 1.8)","359.1 (346.6 - 371.6)","NA"
"Estimated HIV incidence","2021","Pennsylvania","42","680 (380 - 990, 22.8)","6.1 (3.4 - 8.9)","NA"
"AIDS prevalence","2021","Pennsylvania","42","19,246","172.8","NA"
"AIDS classifications","2021","Pennsylvania","42","443","4.0","NA"
"AIDS deaths","2021","Pennsylvania","42","554","5.0","NA"
"HIV deaths","2021","Pennsylvania","42","754","6.8","NA"
"HIV diagnoses","2021","Pennsylvania","42","935","8.4","NA"
"HIV viral suppression","2021","Pennsylvania","42","Data not available","NA","Data not available"
"Linkage to HIV medical care","2021","Pennsylvania","42","Data not available","NA","Data not available"
"Receipt of HIV medical care","2021","Pennsylvania","42","Data not available","NA","Data not available"
"Receipt of HIV medical care","2021","Rhode Island","44","1,969","NA","74.4"
"PrEP coverage and number of persons prescribed","2021","Rhode Island","44","1,521","NA","39.2"
"Knowledge of Status","2021","Rhode Island","44","2,663","NA","91.1 (81.5 - 100.0, 5.2)"
"HIV viral suppression","2021","Rhode Island","44","1,809","NA","68.3"
"HIV prevalence","2021","Rhode Island","44","2,709","284.7","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Rhode Island","44","2,900 (2,700 - 3,300, 6.0)","306.7 (279.4 - 342.7)","NA"
"AIDS prevalence","2021","Rhode Island","44","1,403","147.4","NA"
"AIDS classifications","2021","Rhode Island","44","25","2.6","NA"
"AIDS deaths","2021","Rhode Island","44","29","3.0","NA"
"Estimated HIV incidence","2021","Rhode Island","44","Data not available","Data not available","NA"
"HIV deaths","2021","Rhode Island","44","41","4.3","NA"
"HIV diagnoses","2021","Rhode Island","44","68","7.1","NA"
"Linkage to HIV medical care","2021","Rhode Island","44","58","NA","85.3"
"Receipt of HIV medical care","2021","South Carolina","45","14,315","NA","81.9"
"PrEP coverage and number of persons prescribed","2021","South Carolina","45","2,919","NA","28.1"
"Knowledge of Status","2021","South Carolina","45","17,795","NA","84.0 (80.0 - 88.4, 2.6)"
"HIV viral suppression","2021","South Carolina","45","12,679","NA","72.6"
"HIV prevalence","2021","South Carolina","45","17,945","407.1","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","South Carolina","45","21,200 (20,100 - 22,200, 2.5)","479.2 (455.3 - 503.2)","NA"
"Estimated HIV incidence","2021","South Carolina","45","650 (300 - 990, 27.1)","14.6 (6.8 - 22.5)","NA"
"AIDS prevalence","2021","South Carolina","45","9,218","209.1","NA"
"AIDS classifications","2021","South Carolina","45","361","8.2","NA"
"AIDS deaths","2021","South Carolina","45","322","7.3","NA"
"HIV deaths","2021","South Carolina","45","421","9.6","NA"
"HIV diagnoses","2021","South Carolina","45","654","14.8","NA"
"Linkage to HIV medical care","2021","South Carolina","45","557","NA","85.4"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","South Dakota","46","860 (710 - 1,100, 12.1)","116.4 (95.5 - 144.1)","NA"
"AIDS classifications","2021","South Dakota","46","21","2.8","NA"
"AIDS deaths","2021","South Dakota","46","15","2.0","NA"
"AIDS prevalence","2021","South Dakota","46","321","43.4","NA"
"Estimated HIV incidence","2021","South Dakota","46","Data not available","Data not available","NA"
"HIV deaths","2021","South Dakota","46","16","2.2","NA"
"HIV diagnoses","2021","South Dakota","46","31","4.2","NA"
"HIV prevalence","2021","South Dakota","46","722","97.7","NA"
"HIV viral suppression","2021","South Dakota","46","380","NA","55.3"
"Knowledge of Status","2021","South Dakota","46","707","NA","82.0 (66.3 - 100.0, 10.5)"
"Linkage to HIV medical care","2021","South Dakota","46","25","NA","80.6"
"PrEP coverage and number of persons prescribed","2021","South Dakota","46","217","NA","23.8"
"Receipt of HIV medical care","2021","South Dakota","46","606","NA","88.2"
"Receipt of HIV medical care","2021","Tennessee","47","14,133","NA","78.8"
"PrEP coverage and number of persons prescribed","2021","Tennessee","47","7,217","NA","32.1"
"Knowledge of Status","2021","Tennessee","47","18,528","NA","84.8 (81.0 - 89.0, 2.4)"
"HIV viral suppression","2021","Tennessee","47","12,005","NA","66.9"
"HIV prevalence","2021","Tennessee","47","18,697","318.6","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Tennessee","47","21,800 (20,800 - 22,900, 2.4)","370.8 (353.4 - 388.1)","NA"
"Estimated HIV incidence","2021","Tennessee","47","750 (470 - 1,000, 19.4)","12.8 (7.9 - 17.6)","NA"
"AIDS prevalence","2021","Tennessee","47","8,748","149.1","NA"
"AIDS classifications","2021","Tennessee","47","307","5.2","NA"
"AIDS deaths","2021","Tennessee","47","321","5.5","NA"
"HIV deaths","2021","Tennessee","47","449","7.7","NA"
"HIV diagnoses","2021","Tennessee","47","835","14.2","NA"
"Linkage to HIV medical care","2021","Tennessee","47","583","NA","70.2"
"Receipt of HIV medical care","2021","Texas","48","72,212","NA","75.0"
"PrEP coverage and number of persons prescribed","2021","Texas","48","34,772","NA","28.1"
"Linkage to HIV medical care","2021","Texas","48","3,431","NA","78.6"
"Knowledge of Status","2021","Texas","48","100,041","NA","83.0 (81.3 - 84.7, 1.1)"
"HIV viral suppression","2021","Texas","48","60,494","NA","62.8"
"HIV prevalence","2021","Texas","48","100,845","415.0","NA"
"HIV diagnoses","2021","Texas","48","4,515","18.6","NA"
"HIV deaths","2021","Texas","48","1,765","7.3","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Texas","48","120,500 (118,100 - 123,000, 1.1)","495.3 (485.1 - 505.6)","NA"
"Estimated HIV incidence","2021","Texas","48","4,200 (3,400 - 5,000, 10.0)","17.3 (13.9 - 20.7)","NA"
"AIDS prevalence","2021","Texas","48","47,580","195.8","NA"
"AIDS deaths","2021","Texas","48","1,358","5.6","NA"
"AIDS classifications","2021","Texas","48","1,951","8.0","NA"
"Receipt of HIV medical care","2021","Utah","49","2,518","NA","75.9"
"PrEP coverage and number of persons prescribed","2021","Utah","49","3,257","NA","47.6"
"Knowledge of Status","2021","Utah","49","3,398","NA","83.0 (75.1 - 92.7, 5.4)"
"HIV viral suppression","2021","Utah","49","2,338","NA","70.5"
"HIV prevalence","2021","Utah","49","3,431","128.3","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Utah","49","4,100 (3,700 - 4,500, 5.3)","152.6 (136.6 - 168.6)","NA"
"Estimated HIV incidence","2021","Utah","49","150 (0 - 300, 49.4*)","5.7 (0.2 - 11.2)","NA"
"AIDS prevalence","2021","Utah","49","1,562","58.4","NA"
"AIDS classifications","2021","Utah","49","52","1.9","NA"
"AIDS deaths","2021","Utah","49","30","1.1","NA"
"HIV deaths","2021","Utah","49","44","1.6","NA"
"HIV diagnoses","2021","Utah","49","134","5.0","NA"
"Linkage to HIV medical care","2021","Utah","49","111","NA","83.5"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Vermont","50","760 (720 - 910, 10.4)","133.6 (126.0 - 160.8)","NA"
"AIDS classifications","2021","Vermont","50","8","1.4","NA"
"AIDS deaths","2021","Vermont","50","7","1.2","NA"
"AIDS prevalence","2021","Vermont","50","373","65.9","NA"
"Estimated HIV incidence","2021","Vermont","50","Data not available","Data not available","NA"
"HIV deaths","2021","Vermont","50","12","2.1","NA"
"HIV diagnoses","2021","Vermont","50","13","2.3","NA"
"HIV prevalence","2021","Vermont","50","725","128.0","NA"
"HIV viral suppression","2021","Vermont","50","531","NA","74.6"
"Knowledge of Status","2021","Vermont","50","715","NA","94.4 (78.4 - 100.0, 5.8)"
"Linkage to HIV medical care","2021","Vermont","50","12","NA","100.0"
"PrEP coverage and number of persons prescribed","2021","Vermont","50","480","NA","45.3"
"AIDS classifications","2020 (COVID-19 Pandemic)","Indiana","18","214","3.8","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Indiana","18","164","2.9","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Indiana","18","240","4.2","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Indiana","18","425","7.5","NA"
"Linkage to HIV medical care","2020 (COVID-19 Pandemic)","Indiana","18","323","NA","74.6"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Iowa","19","2,432","NA","85.8"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Iowa","19","1,543","NA","32.4"
"Knowledge of Status","2020 (COVID-19 Pandemic)","Iowa","19","2,884","NA","84.2 (76.2 - 94.2, 5.5)"
"HIV viral suppression","2020 (COVID-19 Pandemic)","Iowa","19","2,248","NA","79.3"
"HIV prevalence","2020 (COVID-19 Pandemic)","Iowa","19","2,918","109.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2020 (COVID-19 Pandemic)","Iowa","19","3,400 (3,100 - 3,800, 5.4)","128.1 (114.5 - 141.7)","NA"
"Estimated HIV incidence","2020 (COVID-19 Pandemic)","Iowa","19","120 (10 - 230, 47.1*)","4.5 (0.3 - 8.7)","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Iowa","19","1,485","55.7","NA"
"AIDS classifications","2020 (COVID-19 Pandemic)","Iowa","19","46","1.7","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Iowa","19","50","1.9","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Iowa","19","64","2.4","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Iowa","19","100","3.8","NA"
"Linkage to HIV medical care","2020 (COVID-19 Pandemic)","Iowa","19","90","NA","90.0"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Kansas","20","2,584","NA","80.4"
"Knowledge of Status","2020 (COVID-19 Pandemic)","Kansas","20","3,258","NA","81.4 (73.4 - 91.5, 5.7)"
"HIV viral suppression","2020 (COVID-19 Pandemic)","Kansas","20","2,324","NA","72.3"
"HIV prevalence","2020 (COVID-19 Pandemic)","Kansas","20","3,288","135.1","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2020 (COVID-19 Pandemic)","Kansas","20","4,000 (3,600 - 4,400, 5.6)","164.0 (146.0 - 181.9)","NA"
"Estimated HIV incidence","2020 (COVID-19 Pandemic)","Kansas","20","180 (40 - 310, 40.0*)","7.2 (1.6 - 12.8)","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Kansas","20","1,637","67.3","NA"
"AIDS classifications","2020 (COVID-19 Pandemic)","Kansas","20","57","2.3","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Kansas","20","46","1.9","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Kansas","20","64","2.6","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Kansas","20","141","5.8","NA"
"Linkage to HIV medical care","2020 (COVID-19 Pandemic)","Kansas","20","118","NA","85.5"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Kansas","20","944","NA","18.7"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Kentucky","21","1,663","NA","12.8"
"Knowledge of Status","2020 (COVID-19 Pandemic)","Kentucky","21","7,689","NA","81.5 (76.3 - 87.5, 3.5)"
"HIV prevalence","2020 (COVID-19 Pandemic)","Kentucky","21","7,740","204.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2020 (COVID-19 Pandemic)","Kentucky","21","9,400 (8,800 - 10,100, 3.5)","248.9 (231.7 - 266.0)","NA"
"Estimated HIV incidence","2020 (COVID-19 Pandemic)","Kentucky","21","380 (150 - 610, 30.8*)","10.0 (4.0 - 16.1)","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Kentucky","21","3,586","94.9","NA"
"AIDS classifications","2020 (COVID-19 Pandemic)","Kentucky","21","125","3.3","NA"
